"Local Government Area data:
Local Government areas range in population size between 100 to 1 million people. LGAs often have varying age and other demographic profiles affecting their coverage rates. LGA population estimates are taken from the latest ABS LGA by age release. 
Note on areas with large remote and very remote populations:
The  process of geocoding addresses in very remote areas and remote areas can lead to artificially low vaccine dose count records in those areas (as addresses cannot be ‘pinpointed’ to a specific client location, and therefore LGA). For vaccine rates relevant to these areas, please consult the weekly SA4 data release from Operation COVIDShield.  SA4 data is generally of larger population regions, so undercounting of doses has less impact on overall coverage rates. 
Methodology underpinning LGA Remoteness classification: 
LGA ‘remoteness’ is calculated by a assigning a modal remoteness value for each LGA, based on where the majority of the population in each LGA live - using 2016 Census meshblock population counts. Remote and Very Remote classifications accord with the same values if using the Modified Monash Model of remoteness.
* Indicates LGAs with apparent data issues resulting in coverage rates that may not be representative and should be treated with caution. ",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Data extracted from AIR - as at 2359hrs on 05 December 2021,,,,,
LGA 2019 Name of Residence,State of Residence,Remoteness,% Received dose 1,% Received dose 2,LGA Population
Whitehorse (C),Victoria,Major Cities of Australia,92.6%,90.9%," 149,611 "
Whittlesea (C),Victoria,Major Cities of Australia,93.7%,90.9%," 180,925 "
Wodonga (C),Victoria,Inner Regional Australia,>95%,>95%," 33,295 "
Wyndham (C),Victoria,Major Cities of Australia,>95%,>95%," 201,181 "
Yarra (C),Victoria,Major Cities of Australia,77.5%,76.1%," 90,535 "
Yarra Ranges (S),Victoria,Major Cities of Australia,>95%,93.7%," 129,169 "
Yarriambiack (S),Victoria,Outer Regional Australia,>95%,>95%," 5,517 "
Unincorporated Vic*,Victoria,Outer Regional Australia,46.6%,45.1%, 768 
Aurukun (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,015 "
Balonne (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,368 "
Banana (S),Queensland,Outer Regional Australia,80.6%,68.1%," 11,003 "
Barcaldine (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,254 "
Barcoo (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 230 
Blackall-Tambo (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,476 "
Boulia (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 336 
Brisbane (C),Queensland,Major Cities of Australia,88.9%,83.0%," 1,033,592 "
Bulloo (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 272 
Bundaberg (R),Queensland,Inner Regional Australia,91.9%,81.5%," 79,061 "
Burdekin (S),Queensland,Outer Regional Australia,90.6%,76.3%," 14,053 "
Burke (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 289 
Cairns (R),Queensland,Outer Regional Australia,89.3%,78.9%," 133,038 "
Carpentaria (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,547 "
Cassowary Coast (R),Queensland,Outer Regional Australia,87.0%,74.7%," 24,343 "
Central Highlands (R) (Qld),Queensland,Outer Regional Australia,79.2%,65.1%," 21,430 "
Charters Towers (R),Queensland,Outer Regional Australia,78.7%,65.1%," 9,384 "
Cherbourg (S)*,Queensland,Inner Regional Australia,60.8%,48.2%, 841 
Cloncurry (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,437 "
Cook (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,640 "
Croydon (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 216 
Diamantina (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 252 
Doomadgee (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 922 
Douglas (S),Queensland,Outer Regional Australia,86.6%,77.7%," 10,354 "
Etheridge (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 616 
Flinders (S) (Qld),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,209 "
Fraser Coast (R),Queensland,Inner Regional Australia,93.1%,82.8%," 88,940 "
Gladstone (R),Queensland,Inner Regional Australia,86.6%,73.5%," 48,845 "
Gold Coast (C),Queensland,Major Cities of Australia,86.6%,78.1%," 507,632 "
Goondiwindi (R),Queensland,Outer Regional Australia,>95%,91.5%," 8,385 "
Gympie (R),Queensland,Inner Regional Australia,84.3%,72.9%," 42,934 "
Hinchinbrook (S),Queensland,Outer Regional Australia,93.6%,83.2%," 9,092 "
Hope Vale (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A, 783 
Ipswich (C),Queensland,Major Cities of Australia,88.8%,78.4%," 169,205 "
Isaac (R)*,Queensland,Outer Regional Australia,67.7%,52.8%," 15,572 "
Kowanyama (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 710 
Livingstone (S),Queensland,Inner Regional Australia,84.2%,73.0%," 30,952 "
Lockhart River (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 560 
Lockyer Valley (R),Queensland,Inner Regional Australia,83.1%,72.7%," 33,721 "
Logan (C),Queensland,Major Cities of Australia,87.1%,75.7%," 257,354 "
Longreach (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,855 "
Mackay (R),Queensland,Inner Regional Australia,90.8%,77.8%," 92,238 "
McKinlay (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 646 
Mapoon (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 252 
Maranoa (R),Queensland,Outer Regional Australia,89.2%,79.1%," 9,851 "
Mareeba (S),Queensland,Outer Regional Australia,77.4%,66.0%," 18,704 "
Moreton Bay (R),Queensland,Major Cities of Australia,91.9%,83.3%," 372,012 "
Mornington (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 875 
Mount Isa (C),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 14,035 "
Murweh (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,371 "
Napranum (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 728 
Noosa (S),Queensland,Major Cities of Australia,92.4%,84.0%," 47,060 "
North Burnett (R),Queensland,Outer Regional Australia,81.5%,71.4%," 8,782 "
Northern Peninsula Area (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,018 "
Palm Island (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,828 "
Paroo (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,254 "
Pormpuraaw (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 581 
Quilpie (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 582 
Redland (C),Queensland,Major Cities of Australia,94.2%,86.5%," 128,912 "
Richmond (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 627 
Rockhampton (R),Queensland,Inner Regional Australia,86.5%,73.5%," 64,482 "
Scenic Rim (R),Queensland,Inner Regional Australia,85.0%,75.8%," 35,027 "
Somerset (R),Queensland,Inner Regional Australia,86.3%,75.8%," 20,963 "
South Burnett (R),Queensland,Inner Regional Australia,87.5%,74.7%," 26,417 "
